L_Elbow,R_Elbow,L_Shoulder,R_Shoulder,L_Wrist,R_Wrist,L_Hip,R_Hip,L_Knee,R_Knee,L_Ankle,R_Ankle,Spine
124.0,177.0,22.0,28.0,163.0,148.0,125.0,166.0,110.0,175.0,106.0,140.0,166.0
124.0,177.0,22.0,28.0,163.0,148.0,119.0,121.0,100.0,170.0,103.0,168.0,174.0
124.0,177.0,22.0,28.0,163.0,148.0,116.0,123.0,98.0,170.0,95.0,174.0,176.0
124.0,177.0,22.0,28.0,163.0,148.0,134.0,152.0,165.0,153.0,144.0,145.0,179.0
124.0,177.0,22.0,28.0,163.0,148.0,156.0,135.0,168.0,153.0,125.0,159.0,177.0
124.0,177.0,22.0,28.0,163.0,148.0,179.0,171.0,173.0,176.0,132.0,149.0,177.0
124.0,177.0,22.0,28.0,163.0,148.0,163.0,173.0,176.0,162.0,153.0,153.0,164.0
124.0,177.0,22.0,28.0,163.0,148.0,153.0,132.0,159.0,142.0,145.0,141.0,159.0
124.0,177.0,22.0,28.0,163.0,148.0,106.0,113.0,109.0,121.0,146.0,147.0,161.0
124.0,177.0,22.0,28.0,163.0,148.0,100.0,102.0,78.0,101.0,127.0,139.0,167.0
124.0,177.0,22.0,28.0,163.0,148.0,86.0,96.0,69.0,96.0,115.0,143.0,174.0
124.0,177.0,22.0,28.0,163.0,148.0,89.0,111.0,123.0,129.0,76.0,89.0,169.0
124.0,177.0,22.0,28.0,163.0,148.0,88.0,128.0,152.0,135.0,135.0,143.0,175.0
124.0,177.0,22.0,28.0,163.0,148.0,94.0,160.0,144.0,150.0,125.0,167.0,162.0
124.0,177.0,22.0,28.0,163.0,148.0,109.0,172.0,156.0,166.0,136.0,163.0,163.0
124.0,177.0,22.0,28.0,163.0,148.0,113.0,172.0,166.0,165.0,149.0,148.0,165.0
124.0,177.0,22.0,40.0,163.0,148.0,116.0,172.0,168.0,158.0,154.0,133.0,155.0
124.0,177.0,22.0,40.0,163.0,148.0,123.0,167.0,176.0,151.0,160.0,129.0,154.0
124.0,177.0,22.0,40.0,163.0,148.0,129.0,152.0,171.0,147.0,178.0,131.0,154.0
124.0,177.0,22.0,40.0,163.0,148.0,138.0,155.0,166.0,148.0,167.0,128.0,169.0
124.0,177.0,22.0,40.0,163.0,148.0,136.0,137.0,160.0,133.0,172.0,133.0,172.0
124.0,177.0,22.0,40.0,163.0,148.0,118.0,24.0,128.0,14.0,157.0,152.0,175.0
124.0,177.0,22.0,40.0,163.0,148.0,65.0,44.0,69.0,29.0,166.0,151.0,174.0
124.0,177.0,22.0,40.0,163.0,148.0,123.0,178.0,121.0,169.0,171.0,164.0,175.0
124.0,177.0,22.0,67.0,163.0,148.0,175.0,160.0,176.0,169.0,178.0,179.0,178.0
124.0,177.0,22.0,53.0,163.0,148.0,115.0,159.0,121.0,152.0,152.0,167.0,170.0
124.0,177.0,22.0,17.0,163.0,148.0,110.0,144.0,113.0,130.0,162.0,164.0,179.0
124.0,177.0,45.0,47.0,163.0,148.0,110.0,163.0,131.0,151.0,70.0,52.0,179.0
124.0,177.0,35.0,3.0,163.0,148.0,150.0,115.0,130.0,97.0,148.0,154.0,169.0
124.0,177.0,41.0,43.0,163.0,148.0,71.0,137.0,138.0,123.0,109.0,128.0,153.0
124.0,177.0,46.0,41.0,163.0,148.0,10.0,80.0,27.0,130.0,100.0,152.0,149.0
124.0,177.0,62.0,32.0,163.0,148.0,47.0,117.0,42.0,170.0,116.0,172.0,172.0
124.0,177.0,73.0,33.0,163.0,148.0,59.0,113.0,62.0,167.0,126.0,168.0,179.0
124.0,177.0,73.0,24.0,163.0,148.0,85.0,115.0,86.0,169.0,127.0,169.0,175.0
124.0,177.0,73.0,11.0,163.0,148.0,106.0,122.0,96.0,176.0,134.0,170.0,165.0
124.0,177.0,73.0,14.0,163.0,148.0,110.0,134.0,98.0,178.0,129.0,175.0,167.0
124.0,177.0,73.0,14.0,163.0,148.0,108.0,65.0,118.0,91.0,138.0,138.0,144.0
124.0,177.0,73.0,14.0,163.0,148.0,99.0,54.0,102.0,68.0,145.0,155.0,144.0
124.0,177.0,73.0,14.0,163.0,148.0,49.0,117.0,82.0,120.0,177.0,167.0,149.0
124.0,177.0,73.0,14.0,163.0,148.0,59.0,94.0,75.0,103.0,164.0,155.0,153.0
124.0,177.0,73.0,14.0,163.0,148.0,37.0,78.0,65.0,86.0,140.0,153.0,158.0
124.0,177.0,73.0,14.0,163.0,148.0,45.0,71.0,66.0,95.0,133.0,142.0,159.0
124.0,177.0,73.0,14.0,163.0,148.0,38.0,79.0,63.0,88.0,140.0,142.0,170.0
124.0,177.0,73.0,14.0,163.0,148.0,57.0,78.0,82.0,92.0,152.0,137.0,167.0
124.0,177.0,73.0,14.0,163.0,148.0,70.0,85.0,88.0,97.0,134.0,124.0,162.0
124.0,177.0,73.0,14.0,163.0,148.0,85.0,82.0,85.0,84.0,136.0,121.0,175.0
124.0,177.0,73.0,14.0,163.0,148.0,71.0,82.0,76.0,87.0,130.0,126.0,168.0
124.0,177.0,73.0,14.0,163.0,148.0,67.0,77.0,90.0,89.0,134.0,138.0,164.0
124.0,177.0,73.0,14.0,163.0,148.0,64.0,64.0,102.0,86.0,135.0,125.0,157.0
124.0,177.0,73.0,14.0,163.0,148.0,48.0,51.0,95.0,93.0,117.0,117.0,147.0
124.0,177.0,73.0,14.0,163.0,148.0,50.0,60.0,118.0,123.0,112.0,123.0,169.0
124.0,177.0,73.0,14.0,163.0,148.0,50.0,65.0,118.0,129.0,112.0,124.0,166.0
124.0,177.0,73.0,14.0,163.0,148.0,50.0,65.0,118.0,130.0,112.0,120.0,165.0
124.0,177.0,73.0,14.0,163.0,148.0,50.0,61.0,118.0,117.0,112.0,125.0,159.0
124.0,177.0,73.0,14.0,163.0,148.0,50.0,63.0,118.0,99.0,112.0,117.0,158.0
124.0,177.0,73.0,14.0,163.0,148.0,81.0,97.0,168.0,103.0,177.0,171.0,140.0
124.0,177.0,73.0,14.0,163.0,148.0,99.0,119.0,171.0,142.0,149.0,177.0,140.0
124.0,177.0,73.0,14.0,163.0,148.0,130.0,150.0,166.0,156.0,156.0,163.0,166.0
124.0,177.0,73.0,14.0,163.0,148.0,177.0,134.0,156.0,172.0,145.0,155.0,162.0
124.0,177.0,73.0,14.0,163.0,148.0,176.0,132.0,171.0,154.0,178.0,178.0,164.0
124.0,177.0,73.0,14.0,163.0,148.0,176.0,143.0,171.0,150.0,178.0,172.0,167.0
124.0,177.0,73.0,14.0,163.0,148.0,176.0,139.0,171.0,133.0,178.0,168.0,165.0
124.0,177.0,73.0,14.0,163.0,148.0,176.0,138.0,171.0,123.0,178.0,157.0,161.0
124.0,177.0,73.0,14.0,163.0,148.0,176.0,142.0,171.0,130.0,178.0,162.0,164.0
124.0,177.0,73.0,14.0,163.0,148.0,176.0,152.0,171.0,140.0,178.0,136.0,152.0
124.0,177.0,73.0,14.0,163.0,148.0,176.0,152.0,171.0,143.0,178.0,125.0,153.0
124.0,177.0,73.0,14.0,163.0,148.0,176.0,156.0,171.0,152.0,178.0,121.0,164.0
124.0,177.0,73.0,14.0,163.0,148.0,176.0,167.0,171.0,167.0,178.0,124.0,157.0
124.0,177.0,73.0,14.0,163.0,148.0,102.0,173.0,143.0,174.0,154.0,116.0,152.0
124.0,177.0,73.0,14.0,163.0,148.0,105.0,159.0,160.0,162.0,148.0,117.0,158.0
124.0,177.0,73.0,14.0,163.0,148.0,117.0,130.0,176.0,137.0,130.0,129.0,174.0
124.0,177.0,73.0,14.0,163.0,148.0,109.0,136.0,168.0,137.0,175.0,124.0,167.0
124.0,177.0,73.0,14.0,163.0,148.0,111.0,120.0,168.0,118.0,170.0,119.0,166.0
124.0,177.0,73.0,14.0,163.0,148.0,115.0,113.0,169.0,114.0,172.0,122.0,165.0
124.0,177.0,73.0,14.0,163.0,148.0,125.0,114.0,176.0,117.0,167.0,123.0,164.0
124.0,177.0,73.0,14.0,163.0,148.0,130.0,102.0,175.0,108.0,177.0,123.0,163.0
124.0,177.0,73.0,14.0,163.0,148.0,136.0,104.0,179.0,111.0,175.0,123.0,166.0
124.0,177.0,73.0,14.0,163.0,148.0,133.0,105.0,177.0,117.0,176.0,127.0,169.0
124.0,177.0,73.0,14.0,163.0,148.0,133.0,96.0,174.0,112.0,169.0,131.0,167.0
124.0,177.0,73.0,14.0,163.0,148.0,41.0,150.0,71.0,168.0,139.0,178.0,175.0
124.0,177.0,73.0,14.0,163.0,148.0,42.0,150.0,72.0,166.0,139.0,161.0,174.0
124.0,177.0,73.0,14.0,163.0,148.0,43.0,162.0,80.0,176.0,143.0,160.0,177.0
124.0,177.0,73.0,14.0,163.0,148.0,42.0,156.0,80.0,166.0,143.0,176.0,176.0
124.0,177.0,73.0,14.0,163.0,148.0,48.0,103.0,83.0,87.0,143.0,164.0,179.0
124.0,177.0,73.0,14.0,163.0,148.0,64.0,176.0,99.0,160.0,144.0,178.0,177.0
